id,from,at,to,open,close,min,max,volume
1903700,1670243640,1670243700000000000,1670243700,1.056295,1.056435,1.056255,1.056435,221
1903701,1670243700,1670243760000000000,1670243760,1.056425,1.056535,1.056385,1.056665,240
1903702,1670243760,1670243820000000000,1670243820,1.056535,1.056325,1.056255,1.056565,237
1903703,1670243820,1670243880000000000,1670243880,1.056325,1.056375,1.056295,1.056495,260
1903704,1670243880,1670243940000000000,1670243940,1.056385,1.056335,1.056295,1.056525,248
1903705,1670243940,1670244000000000000,1670244000,1.056345,1.056115,1.056115,1.056445,219
1903706,1670244000,1670244060000000000,1670244060,1.056115,1.056275,1.056035,1.056475,291
1903707,1670244060,1670244120000642993,1670244120,1.056275,1.056435,1.056265,1.056475,178
1903708,1670244120,1670244180000000000,1670244180,1.056445,1.056355,1.056315,1.056575,203
1903709,1670244180,1670244240000000000,1670244240,1.056375,1.056575,1.056305,1.056585,178
1903710,1670244240,1670244300000000000,1670244300,1.056585,1.056745,1.056525,1.056785,227
1903711,1670244300,1670244360011295269,1670244360,1.056745,1.056865,1.056645,1.056885,238
1903712,1670244360,1670244420009053537,1670244420,1.056855,1.056985,1.056835,1.057005,216
1903713,1670244420,1670244480000000000,1670244480,1.056965,1.057145,1.056945,1.057275,274
1903714,1670244480,1670244540000000000,1670244540,1.057135,1.057575,1.057135,1.057695,333
1903715,1670244540,1670244600000000000,1670244600,1.057585,1.057425,1.057265,1.057585,355
1903716,1670244600,1670244660000000000,1670244660,1.057435,1.057265,1.057235,1.057495,284
1903717,1670244660,1670244720007631871,1670244720,1.057265,1.057325,1.057265,1.057415,234
1903718,1670244720,1670244780000000000,1670244780,1.057315,1.057525,1.057315,1.057605,251
1903719,1670244780,1670244840000000000,1670244840,1.057525,1.057825,1.057505,1.057875,302
1903720,1670244840,1670244900000000000,1670244900,1.057825,1.058045,1.057745,1.058045,298
1903721,1670244900,1670244960000000000,1670244960,1.058055,1.059305,1.058025,1.059325,673
1903722,1670244960,1670245020000000000,1670245020,1.059305,1.059385,1.058975,1.059425,557
1903723,1670245020,1670245080000000000,1670245080,1.059395,1.059405,1.059335,1.059485,324
1903724,1670245080,1670245140000000000,1670245140,1.059395,1.059395,1.059385,1.059495,358
1903725,1670245140,1670245200000000000,1670245200,1.059395,1.059025,1.058945,1.059415,593
1903726,1670245200,1670245260000000000,1670245260,1.059025,1.058785,1.058715,1.059115,555
1903727,1670245260,1670245320000000000,1670245320,1.058785,1.058635,1.058575,1.058785,481
1903728,1670245320,1670245380008070418,1670245380,1.058635,1.059135,1.058625,1.059145,333
1903729,1670245380,1670245440009749442,1670245440,1.059135,1.059045,1.058675,1.059185,381
1903730,1670245440,1670245500001402826,1670245500,1.059035,1.059185,1.058855,1.059205,395
1903731,1670245500,1670245560000000000,1670245560,1.059205,1.059315,1.059165,1.059395,439
1903732,1670245560,1670245620000000000,1670245620,1.059315,1.059265,1.059205,1.059395,373
1903733,1670245620,1670245680006718576,1670245680,1.059225,1.059075,1.058985,1.059255,536
1903734,1670245680,1670245740000000000,1670245740,1.059075,1.058895,1.058825,1.059145,387
1903735,1670245740,1670245800000000000,1670245800,1.058895,1.058765,1.058745,1.059135,349
1903736,1670245800,1670245860002548672,1670245860,1.058775,1.058975,1.058735,1.059135,444
1903737,1670245860,1670245920000000000,1670245920,1.058965,1.059075,1.058915,1.059125,484
1903738,1670245920,1670245980000000000,1670245980,1.059075,1.058625,1.058485,1.059075,505
1903739,1670245980,1670246040000000000,1670246040,1.058625,1.058615,1.058505,1.058765,307
1903740,1670246040,1670246100008436792,1670246100,1.058615,1.058735,1.058555,1.058785,348
1903741,1670246100,1670246160000000000,1670246160,1.058725,1.058815,1.058555,1.058925,384
1903742,1670246160,1670246220000000000,1670246220,1.058835,1.058765,1.058645,1.058885,313
1903743,1670246220,1670246280000000000,1670246280,1.058765,1.058405,1.058315,1.058835,343
1903744,1670246280,1670246340000000000,1670246340,1.058415,1.058215,1.058105,1.058415,411
1903745,1670246340,1670246400000000000,1670246400,1.058215,1.058405,1.058135,1.058405,355
1903746,1670246400,1670246444001298933,1670246460,1.058425,1.058705,1.058355,1.059105,414
