id,from,at,to,open,close,min,max,volume
1906979,1670440380,1670440440001906967,1670440440,1.051075,1.051195,1.050995,1.051245,204
1906980,1670440440,1670440500000000000,1670440500,1.051195,1.051565,1.051195,1.051565,237
1906981,1670440500,1670440560003596767,1670440560,1.051565,1.051615,1.051515,1.051655,191
1906982,1670440560,1670440620000872328,1670440620,1.051615,1.051795,1.051615,1.051795,166
1906983,1670440620,1670440680000000000,1670440680,1.051775,1.051785,1.051735,1.051885,177
1906984,1670440680,1670440740004679614,1670440740,1.051805,1.051885,1.051685,1.052025,232
1906985,1670440740,1670440800009861832,1670440800,1.051885,1.051975,1.051855,1.051975,164
1906986,1670440800,1670440860009027257,1670440860,1.051975,1.051865,1.051865,1.051995,144
1906987,1670440860,1670440920000000000,1670440920,1.051855,1.051695,1.051565,1.051885,200
1906988,1670440920,1670440980000000000,1670440980,1.051695,1.051635,1.051615,1.051695,119
1906989,1670440980,1670441040000000000,1670441040,1.051655,1.051575,1.051495,1.051685,165
1906990,1670441040,1670441100000000000,1670441100,1.051565,1.051795,1.051545,1.051795,181
1906991,1670441100,1670441160000694947,1670441160,1.051795,1.051935,1.051795,1.051975,261
1906992,1670441160,1670441220001124146,1670441220,1.051935,1.051935,1.051845,1.051955,233
1906993,1670441220,1670441280001005543,1670441280,1.051935,1.051815,1.051815,1.051965,174
1906994,1670441280,1670441340003766271,1670441340,1.051815,1.051885,1.051805,1.051985,256
1906995,1670441340,1670441400002658272,1670441400,1.051875,1.051775,1.051715,1.051895,202
1906996,1670441400,1670441460003360243,1670441460,1.051775,1.051605,1.051605,1.051805,142
1906997,1670441460,1670441520000000000,1670441520,1.051605,1.051555,1.051465,1.051645,224
1906998,1670441520,1670441580000239591,1670441580,1.051555,1.051565,1.051525,1.051605,203
1906999,1670441580,1670441640000000000,1670441640,1.051555,1.051615,1.051495,1.051635,164
1907000,1670441640,1670441700006533356,1670441700,1.051605,1.051885,1.051605,1.051905,244
1907001,1670441700,1670441760000000000,1670441760,1.051875,1.051695,1.051695,1.051895,219
1907002,1670441760,1670441820001111953,1670441820,1.051705,1.051645,1.051645,1.051785,184
1907003,1670441820,1670441880000000000,1670441880,1.051625,1.051695,1.051615,1.051755,216
1907004,1670441880,1670441940000000000,1670441940,1.051695,1.051535,1.051435,1.051715,363
1907005,1670441940,1670442000004668036,1670442000,1.051535,1.05157,1.051535,1.051765,263
1907006,1670442000,1670442060000905697,1670442060,1.051655,1.051825,1.051655,1.051855,363
1907007,1670442060,1670442120000000000,1670442120,1.051835,1.051745,1.051655,1.051835,320
1907008,1670442120,1670442180000000000,1670442180,1.051755,1.051885,1.051725,1.051955,262
1907009,1670442180,1670442240000000000,1670442240,1.051875,1.051715,1.051705,1.051895,262
1907010,1670442240,1670442300000000000,1670442300,1.051705,1.051825,1.051655,1.051925,206
1907011,1670442300,1670442360001566234,1670442360,1.051815,1.051805,1.051735,1.051885,181
1907012,1670442360,1670442420000000000,1670442420,1.051805,1.051725,1.051575,1.051805,184
1907013,1670442420,1670442480001014464,1670442480,1.051715,1.051695,1.051615,1.051765,245
