id,from,at,to,open,close,min,max,volume
1866254,1666956120,1666956180000000000,1666956180,0.995435,0.995515,0.995345,0.995525,223
1866255,1666956180,1666956240000000000,1666956240,0.995515,0.995495,0.995355,0.995575,202
1866256,1666956240,1666956300001180081,1666956300,0.995515,0.995765,0.995475,0.995915,398
1866257,1666956300,1666956360000000000,1666956360,0.995765,0.995845,0.995725,0.996045,440
1866258,1666956360,1666956420000000000,1666956420,0.995845,0.995915,0.995795,0.996005,220
1866259,1666956420,1666956480000000000,1666956480,0.995895,0.996265,0.995795,0.996265,293
1866260,1666956480,1666956540002837999,1666956540,0.996275,0.996405,0.996135,0.996535,346
1866261,1666956540,1666956600013043390,1666956600,0.996395,0.996675,0.996335,0.996715,245
1866262,1666956600,1666956660000000000,1666956660,0.996665,0.996435,0.996335,0.996715,249
1866263,1666956660,1666956720000000000,1666956720,0.996445,0.996365,0.996335,0.996665,334
1866264,1666956720,1666956780000000000,1666956780,0.996375,0.996495,0.996365,0.996675,273
1866265,1666956780,1666956840008347603,1666956840,0.996495,0.996595,0.996255,0.996595,187
1866266,1666956840,1666956900003086232,1666956900,0.996585,0.996975,0.996455,0.996985,267
1866267,1666956900,1666956960000000000,1666956960,0.996975,0.997235,0.996925,0.997305,340
1866268,1666956960,1666957020000000000,1666957020,0.997235,0.997275,0.997235,0.997585,484
1866269,1666957020,1666957080008204140,1666957080,0.997275,0.997195,0.997105,0.997525,315
1866270,1666957080,1666957140000000000,1666957140,0.997205,0.997015,0.996935,0.997455,318
1866271,1666957140,1666957200002219678,1666957200,0.997015,0.996805,0.996755,0.997155,334
1866272,1666957200,1666957260012943019,1666957260,0.996785,0.996495,0.996395,0.996815,347
1866273,1666957260,1666957320000000000,1666957320,0.996485,0.996215,0.996155,0.996555,408
1866274,1666957320,1666957380000000000,1666957380,0.996245,0.996335,0.995975,0.996345,324
1866275,1666957380,1666957440000000000,1666957440,0.996335,0.996205,0.996155,0.996405,229
1866276,1666957440,1666957500000000000,1666957500,0.996205,0.996275,0.996145,0.996395,269
1866277,1666957500,1666957560000000000,1666957560,0.996265,0.996555,0.996255,0.996565,204
1866278,1666957560,1666957620000000000,1666957620,0.996545,0.996505,0.996445,0.996745,294
1866279,1666957620,1666957680010943688,1666957680,0.996505,0.996375,0.996185,0.996575,313
1866280,1666957680,1666957740000000000,1666957740,0.996405,0.996065,0.996065,0.996425,317
1866281,1666957740,1666957800011875151,1666957800,0.996065,0.996115,0.995915,0.996165,336
1866282,1666957800,1666957860000000000,1666957860,0.996115,0.995985,0.995935,0.996135,289
1866283,1666957860,1666957920000000000,1666957920,0.995995,0.996285,0.995875,0.996375,314
1866284,1666957920,1666957980000000000,1666957980,0.996295,0.996305,0.996245,0.996405,295
1866285,1666957980,1666958040003756453,1666958040,0.996305,0.996175,0.996155,0.996355,295
